User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
8,1,Mastercard,Debit,5.66883E+15,Jan-21,356,YES,1,$23253,Sep-17,2017,No
8,2,Visa,Credit,4.40006E+15,Feb-21,497,YES,1,$16100,Jan-05,2014,No
8,3,Visa,Credit,4.80855E+15,Feb-21,921,YES,2,$8700,Jan-12,2012,No
8,4,Mastercard,Debit,5.22474E+15,Jan-19,922,YES,1,$29333,May-12,2012,No
9,0,Mastercard,Debit,5.29418E+15,Jul-24,265,YES,2,$9496,Jul-09,2012,No
10,0,Visa,Debit,4.8578E+15,Jul-21,930,YES,1,$25499,Feb-20,2020,No
10,1,Visa,Debit,4.32406E+15,Feb-20,358,YES,1,$18641,Feb-20,2020,No
11,0,Visa,Debit,4.85264E+15,May-23,995,YES,1,$26019,Jan-20,2020,No
12,0,Mastercard,Debit,5.65638E+15,Jan-21,547,YES,1,$25845,Feb-20,2020,No
13,0,Visa,Debit,4.55693E+15,Jun-23,64,YES,2,$2365,Jan-07,2009,No
13,1,Mastercard,Debit,5.51578E+15,Jun-23,419,YES,2,$18684,Jul-06,2017,No
13,2,Visa,Credit,4.50839E+15,Feb-21,364,NO,2,$7400,Feb-20,2020,No
14,0,Mastercard,Debit,5.54827E+15,Dec-24,145,YES,2,$4147,Dec-08,2016,No
15,0,Visa,Debit (Prepaid),4.98627E+15,Apr-22,385,YES,1,$76,Dec-12,2012,No
15,1,Discover,Credit,6.72606E+15,Jan-09,105,NO,1,$4700,Dec-08,2014,No
15,2,Visa,Credit,4.15711E+15,Jun-21,433,YES,2,$5800,Aug-07,2011,No
15,3,Mastercard,Debit,5.23146E+15,Mar-24,754,YES,2,$12082,Aug-16,2016,No
15,4,Mastercard,Credit,5.07484E+15,Mar-23,741,NO,2,$6000,Jun-02,2010,No
15,5,Visa,Debit,4.98637E+15,Nov-09,367,YES,1,$620,Feb-02,2014,No
16,0,Mastercard,Debit,5.89201E+15,Aug-22,879,YES,1,$14499,Jan-08,2008,No
16,1,Mastercard,Debit,5.17916E+15,Jul-23,457,YES,2,$12332,Aug-07,2009,No
16,2,Mastercard,Debit,5.56964E+15,Sep-24,904,YES,1,$18424,Aug-13,2013,No
16,3,Visa,Credit,4.70891E+15,Jul-23,149,NO,1,$15400,Aug-03,2008,No
16,4,Visa,Debit,4.79572E+15,Feb-22,136,YES,2,$14548,Aug-07,2013,No
16,5,Mastercard,Credit,5.30016E+15,Dec-16,740,YES,2,$10100,Sep-16,2016,No
17,0,Discover,Credit,6.58024E+15,Apr-11,416,YES,1,$11200,Feb-04,2008,No
17,1,Mastercard,Debit,5.03246E+15,Oct-24,240,YES,2,$20291,Dec-09,2011,No
17,2,Visa,Debit,4.38232E+15,Aug-18,852,YES,1,$32092,Jan-06,2010,No
17,3,Mastercard,Debit,5.45681E+15,Feb-20,217,YES,1,$20463,Jan-20,2020,No
18,0,Visa,Debit,4.46536E+15,Aug-22,738,YES,1,$15802,Jan-20,2020,No
18,1,Visa,Debit,4.66845E+15,Feb-20,314,NO,2,$4612,Feb-20,2020,No
18,2,Discover,Credit,6.3776E+15,Jul-20,675,YES,2,$19900,Jan-20,2020,No
19,0,Mastercard,Debit (Prepaid),5.11709E+15,Oct-20,42,YES,1,$73,Feb-00,2012,No
19,1,Mastercard,Debit,5.37786E+15,Jan-24,24,YES,1,$11858,Sep-09,2010,No
19,2,Mastercard,Debit,5.58524E+15,Mar-05,749,YES,1,$9664,Jan-98,2011,No
19,3,Mastercard,Debit,5.35528E+15,Jun-20,810,YES,1,$8367,Mar-09,2009,No
19,4,Visa,Credit,4.15009E+15,Jun-22,135,YES,2,$6100,Feb-04,2009,No
20,0,Mastercard,Debit,5.9793E+15,Feb-20,630,YES,3,$9944,Feb-20,2020,No
20,1,Visa,Credit,4.47364E+15,Jan-20,771,YES,1,$7900,Jan-20,2020,No
20,2,Visa,Credit,4.80012E+15,Dec-20,201,YES,1,$5600,Feb-20,2020,No
21,0,Visa,Debit,4.83233E+15,Aug-23,580,YES,1,$68400,Jan-20,2020,No
21,1,Mastercard,Debit,5.27808E+15,Apr-23,437,YES,2,$77237,Jan-20,2020,No
22,0,Visa,Debit,4.86985E+15,Aug-24,701,YES,2,$4488,Jul-02,2015,No
22,1,Visa,Credit,4.23153E+15,Feb-20,499,YES,2,$12500,Nov-14,2014,No
23,0,Mastercard,Debit,5.81361E+15,Dec-20,734,YES,2,$23432,Sep-01,2008,No
23,1,Amex,Credit,3.66521E+14,May-22,447,YES,2,$8800,May-05,2011,No
24,0,Mastercard,Credit,5.3927E+15,Feb-20,886,YES,2,$12100,Feb-20,2020,No
25,0,Mastercard,Debit,5.04815E+15,Feb-20,931,YES,1,$9708,Jan-20,2020,No
25,1,Amex,Credit,3.71643E+14,Nov-21,683,YES,2,$12000,Jul-09,2011,No
25,2,Mastercard,Debit,5.70073E+15,Nov-23,230,YES,1,$11973,Mar-12,2012,No
26,0,Mastercard,Debit,5.38944E+15,Feb-22,658,YES,2,$13601,Oct-06,2014,No
26,1,Mastercard,Credit,5.07912E+15,Jan-24,849,YES,2,$7800,Feb-20,2020,No
27,0,Visa,Debit,4.39043E+15,Oct-23,790,YES,2,$17816,Aug-08,2016,No
28,0,Mastercard,Debit,5.21757E+15,Mar-21,625,NO,2,$17707,Oct-10,2010,No
28,1,Amex,Credit,3.97857E+14,Nov-20,2,YES,1,$9500,May-05,2009,No
29,0,Mastercard,Debit,5.52918E+15,Jan-22,182,YES,1,$19110,May-10,2011,No
29,1,Mastercard,Debit,5.48902E+15,Aug-23,196,YES,1,$13428,Oct-16,2016,No
29,2,Mastercard,Debit,5.79368E+15,Jun-22,43,YES,1,$24608,Aug-05,2009,No
29,3,Mastercard,Debit,5.84537E+15,Sep-22,111,YES,1,$13441,Jan-08,2011,No
30,0,Mastercard,Debit (Prepaid),5.75029E+15,Feb-20,788,YES,2,$74,Jan-20,2020,No
31,0,Mastercard,Debit,5.42979E+15,Oct-12,674,YES,1,$17872,Jun-08,2008,No
31,1,Mastercard,Credit,5.30111E+15,Sep-22,425,YES,1,$12900,Dec-03,2010,No
31,2,Mastercard,Debit,5.5711E+15,May-24,52,YES,2,$25264,Mar-06,2020,No
31,3,Mastercard,Debit,5.40195E+15,Dec-22,920,YES,2,$20634,Mar-05,2007,No
32,0,Visa,Credit,4.29536E+15,Apr-07,656,YES,2,$12200,Dec-06,2010,No
32,1,Visa,Credit,4.73748E+15,Feb-10,221,YES,2,$5500,Jan-08,2008,No
33,0,Visa,Credit,4.50937E+15,Mar-20,281,NO,2,$6600,Feb-20,2020,No
33,1,Mastercard,Debit,5.06826E+15,Nov-20,890,YES,1,$25815,Dec-17,2017,No
34,0,Amex,Credit,3.54813E+14,Jun-21,527,YES,2,$8400,Jan-14,2014,No
34,1,Mastercard,Debit,5.91093E+15,Feb-20,525,YES,1,$21628,Mar-01,2008,No
34,2,Mastercard,Debit,5.40018E+15,Oct-21,412,YES,1,$24232,Jul-09,2009,No
35,0,Mastercard,Debit,5.03905E+15,Nov-23,339,YES,2,$10775,Feb-09,2010,No
35,1,Mastercard,Debit (Prepaid),5.67201E+15,Feb-20,598,YES,2,$105,Jun-07,2013,No
36,0,Visa,Credit,4.33673E+15,Jan-21,221,NO,2,$7100,Nov-10,2010,No
36,1,Mastercard,Debit,5.98558E+15,Jul-24,951,YES,1,$29351,Nov-05,2007,No
36,2,Mastercard,Debit,5.28106E+15,Mar-20,835,YES,2,$15125,Apr-08,2012,No
36,3,Mastercard,Credit,5.61566E+15,Nov-21,865,YES,2,$8000,Nov-03,2008,No
36,4,Mastercard,Debit (Prepaid),5.31488E+15,May-11,994,YES,1,$83,Nov-10,2010,No
37,0,Amex,Credit,3.11095E+14,Jan-24,536,YES,2,$23700,Jul-12,2012,No
38,0,Visa,Credit,4.62475E+15,Feb-24,986,YES,2,$700,Dec-16,2016,No
39,0,Mastercard,Debit,5.59556E+15,Jul-24,594,YES,2,$7488,Jul-06,2016,No
40,0,Visa,Credit,4.17102E+15,Jan-02,225,NO,1,$24900,Feb-99,2010,No
40,1,Mastercard,Debit,5.24634E+15,Jun-21,638,YES,2,$30971,Mar-05,2020,No
40,2,Amex,Credit,3.99966E+14,Jan-24,343,YES,1,$24400,Jan-20,2020,No
40,3,Mastercard,Debit,5.06414E+15,Feb-20,599,YES,2,$53549,Jan-20,2020,No
40,4,Visa,Debit,4.90554E+15,Sep-18,573,YES,1,$53036,Oct-13,2013,No
40,5,Mastercard,Debit,5.70385E+15,Dec-24,300,YES,1,$35750,Aug-11,2011,No
40,6,Visa,Debit,4.0554E+15,Jul-21,902,YES,1,$33375,Mar-13,2013,No
41,0,Visa,Debit (Prepaid),4.58748E+15,Jul-23,858,YES,2,$22,Dec-10,2010,No
41,1,Discover,Credit,6.52143E+15,Nov-20,608,YES,1,$13100,Aug-14,2014,No
41,2,Visa,Debit,4.19971E+15,Oct-24,440,YES,1,$16516,Jul-03,2011,No
41,3,Mastercard,Credit,5.17274E+15,Jul-16,906,YES,1,$15700,May-04,2011,No
41,4,Mastercard,Debit,5.21464E+15,May-24,474,YES,1,$21058,Aug-03,2007,No
42,0,Visa,Debit,4.01388E+15,Oct-23,543,YES,2,$36425,Jan-02,2004,No
42,1,Visa,Debit (Prepaid),4.96605E+15,Mar-21,585,YES,2,$91,Dec-16,2016,No
42,2,Mastercard,Credit,5.24758E+15,Sep-21,379,YES,1,$13400,Apr-05,2014,No
42,3,Mastercard,Credit,5.91132E+15,Apr-21,37,YES,2,$21600,Apr-10,2010,No
43,0,Mastercard,Debit,5.05877E+15,Feb-20,12,NO,1,$9090,Feb-20,2020,No
44,0,Visa,Debit,4.68288E+15,Feb-23,846,NO,1,$25942,Nov-12,2012,No
44,1,Mastercard,Credit,5.88284E+15,Jul-19,614,YES,2,$10700,Feb-03,2013,No
44,2,Mastercard,Credit,5.63715E+15,Jul-22,630,YES,2,$4900,Feb-20,2020,No
45,0,Mastercard,Credit,5.1157E+15,Apr-22,587,NO,1,$18100,Feb-20,2020,No
46,0,Amex,Credit,3.2464E+14,Mar-24,659,YES,2,$7200,Jan-20,2020,No
47,0,Mastercard,Debit,5.03343E+15,Feb-20,546,YES,2,$22660,Jul-04,2007,No
47,1,Discover,Credit,6.96995E+15,Dec-22,588,YES,1,$19800,May-11,2011,No
47,2,Mastercard,Credit,5.18123E+15,Nov-24,820,YES,2,$15500,Jan-05,2014,No
47,3,Visa,Debit (Prepaid),4.31069E+15,Jun-23,458,YES,1,$13,Jan-05,2008,No
47,4,Mastercard,Debit,5.05107E+15,Jun-21,526,YES,2,$4317,Jul-01,2011,No
48,0,Mastercard,Debit,5.45692E+15,Dec-21,553,NO,1,$14719,Mar-00,2008,No
48,1,Mastercard,Debit,5.13266E+15,May-21,593,YES,1,$9532,Sep-17,2017,No
48,2,Mastercard,Credit,5.75287E+15,Mar-20,486,YES,1,$10900,Jul-06,2014,No
49,0,Mastercard,Credit,5.49423E+15,Sep-24,428,YES,2,$6200,Nov-01,2012,No
49,1,Mastercard,Debit,5.78964E+15,Dec-12,43,YES,2,$2903,Nov-05,2011,No
49,2,Mastercard,Debit,5.39296E+15,Oct-20,803,YES,2,$4355,Dec-99,2010,No
50,0,Mastercard,Debit,5.18282E+15,Apr-21,126,YES,1,$28963,Nov-07,2012,No
50,1,Mastercard,Debit,5.10235E+15,Dec-22,667,YES,2,$20913,May-16,2016,No
50,2,Mastercard,Debit,5.03314E+15,Jul-24,170,YES,1,$23344,Feb-10,2010,No
50,3,Mastercard,Debit,5.61152E+15,Jan-20,882,YES,2,$33642,Oct-16,2016,No
51,0,Mastercard,Debit,5.0374E+15,Jan-22,681,YES,1,$14695,Sep-10,2011,No
52,0,Mastercard,Credit,5.57136E+15,Sep-23,510,YES,1,$13200,Jan-07,2015,No
52,1,Visa,Debit,4.08303E+15,Jan-20,173,YES,1,$29950,Sep-08,2013,No
52,2,Visa,Credit,4.82992E+15,Jul-24,768,YES,2,$4600,Dec-07,2011,No
53,0,Mastercard,Debit,5.45849E+15,Dec-22,92,YES,1,$10051,Apr-02,2011,No
53,1,Mastercard,Debit,5.87909E+15,Dec-15,729,YES,2,$9796,Feb-03,2013,No
54,0,Mastercard,Debit,5.76944E+15,Oct-21,957,YES,1,$17826,Oct-09,2009,No
54,1,Mastercard,Debit,5.5888E+15,Nov-24,778,YES,1,$19086,Dec-06,2009,No
54,2,Visa,Debit,4.41069E+15,Jun-24,265,YES,2,$17345,Oct-14,2014,No
54,3,Visa,Debit,4.47082E+15,Sep-20,923,YES,2,$17976,Feb-13,2013,No
54,4,Visa,Debit,4.80434E+15,Jan-22,279,YES,2,$16447,Jan-19,2019,No
55,0,Visa,Debit,4.19436E+15,Oct-24,271,YES,2,$29573,Oct-08,2009,No
55,1,Mastercard,Debit (Prepaid),5.43647E+15,Dec-21,48,YES,2,$98,Dec-10,2010,No
55,2,Mastercard,Debit,5.64887E+15,Aug-19,71,YES,2,$2559,Aug-02,2012,No
55,3,Mastercard,Debit,5.91424E+15,Oct-12,436,YES,2,$6552,Jan-03,2010,No
56,0,Mastercard,Credit,5.19378E+15,Jan-21,591,YES,2,$13800,Jan-20,2020,No
57,0,Mastercard,Debit,5.95793E+15,Aug-20,746,YES,1,$16375,Feb-20,2020,No
57,1,Visa,Debit,4.55706E+15,May-23,780,YES,1,$14213,Jan-20,2020,No
57,2,Visa,Debit (Prepaid),4.88322E+15,Sep-20,2,YES,1,$73,Feb-20,2020,No
58,0,Mastercard,Debit,5.47641E+15,Nov-22,688,YES,2,$53466,Jul-07,2013,No
59,0,Visa,Credit,4.69894E+15,Sep-20,450,YES,1,$6600,Jan-11,2013,No
59,1,Mastercard,Credit,5.57915E+15,Jun-22,806,NO,2,$7200,Dec-15,2015,No
60,0,Mastercard,Debit,5.09961E+15,Nov-20,856,YES,1,$2868,Jan-20,2020,No
60,1,Discover,Credit,6.1775E+15,May-24,97,YES,1,$3400,Jan-20,2020,No
61,0,Mastercard,Debit,5.18813E+15,Jan-22,446,YES,1,$12915,Oct-11,2013,No
61,1,Visa,Debit (Prepaid),4.86032E+15,Dec-23,366,YES,2,$84,Apr-09,2017,No
61,2,Discover,Credit,6.4176E+15,Jul-21,504,YES,2,$17600,Apr-18,2018,No
61,3,Mastercard,Debit,5.51672E+15,Dec-12,621,YES,1,$31542,Nov-06,2009,No
61,4,Mastercard,Debit,5.89105E+15,Feb-22,362,YES,2,$23049,Jun-13,2013,No
61,5,Visa,Debit,4.22257E+15,May-20,141,YES,1,$29734,Dec-17,2017,No
61,6,Visa,Credit,4.45374E+15,Jan-20,346,YES,2,$27000,Sep-11,2016,No
61,7,Mastercard,Debit (Prepaid),5.33598E+15,Nov-22,320,YES,1,$18,Mar-08,2010,No
62,0,Mastercard,Debit,5.70815E+15,Apr-23,824,YES,1,$17848,Dec-15,2015,No
62,1,Mastercard,Debit,5.23868E+15,Nov-22,870,NO,1,$25563,May-10,2010,No
62,2,Visa,Credit,4.74088E+15,Apr-20,168,YES,2,$12000,Oct-10,2010,No
62,3,Amex,Credit,3.61649E+14,Nov-18,709,NO,2,$6600,Feb-12,2012,No
63,0,Amex,Credit,3.63306E+14,Sep-23,943,NO,1,$5600,Jan-20,2020,No
63,1,Visa,Debit,4.36086E+15,Nov-22,428,YES,3,$11873,Feb-20,2020,No
63,2,Mastercard,Credit,5.49802E+15,Feb-20,871,YES,1,$7200,Feb-20,2020,No
64,0,Amex,Credit,3.81573E+14,Aug-24,145,YES,1,$10000,Feb-20,2020,No
64,1,Mastercard,Credit,5.0793E+15,Apr-23,381,YES,2,$500,Nov-10,2010,No
65,0,Mastercard,Debit,5.547E+15,Feb-20,718,YES,1,$22697,Feb-20,2020,No
65,1,Mastercard,Credit,5.32603E+15,Aug-23,437,YES,1,$18000,Mar-13,2013,No
65,2,Mastercard,Debit,5.09615E+15,Oct-24,862,YES,1,$32903,Jun-10,2010,No
66,0,Visa,Debit,4.48987E+15,Aug-21,547,YES,2,$12764,May-99,2010,No
66,1,Mastercard,Credit,5.62173E+15,Oct-22,60,YES,1,$6300,Feb-19,2019,No
67,0,Mastercard,Debit,5.92314E+15,Feb-22,934,YES,2,$7541,Sep-08,2013,No
67,1,Visa,Debit,4.44799E+15,Mar-22,995,YES,2,$1266,Jun-07,2012,No
67,2,Mastercard,Credit,5.00031E+15,Apr-20,263,NO,1,$9500,Sep-14,2014,No
68,0,Mastercard,Debit,5.70731E+15,Apr-20,203,YES,2,$1837,Jun-10,2010,No
68,1,Mastercard,Debit,5.86499E+15,Aug-23,258,YES,2,$17453,Feb-06,2008,No
69,0,Visa,Debit,4.22889E+15,Oct-13,543,NO,1,$28283,May-08,2012,No
69,1,Visa,Credit,4.21024E+15,Apr-20,160,YES,1,$13500,May-10,2012,No
69,2,Visa,Credit,4.87707E+15,Jul-14,786,YES,2,$13300,Jun-12,2012,No
70,0,Mastercard,Debit,5.55804E+15,Sep-21,69,YES,2,$17941,Apr-09,2009,No
71,0,Visa,Credit,4.6425E+15,Apr-18,594,YES,1,$14400,Jun-10,2012,No
71,1,Visa,Credit,4.2444E+15,Apr-20,120,YES,1,$4400,Jul-12,2012,No
71,2,Mastercard,Credit,5.15744E+15,Mar-20,657,YES,1,$13000,Feb-20,2020,No
71,3,Visa,Debit,4.07952E+15,Apr-23,72,YES,2,$22701,Feb-20,2020,No
72,0,Mastercard,Credit,5.59712E+15,Aug-24,934,NO,1,$16100,Feb-20,2020,No
72,1,Mastercard,Debit,5.80837E+15,Sep-23,138,YES,2,$7629,Feb-20,2020,No
73,0,Mastercard,Debit,5.5655E+15,Mar-22,430,NO,1,$16538,Apr-12,2012,No
73,1,Visa,Debit,4.07289E+15,Dec-20,578,YES,2,$22746,Jan-08,2010,No
73,2,Mastercard,Debit,5.16193E+15,Jul-16,743,YES,1,$9737,Feb-16,2016,No
73,3,Mastercard,Credit,5.35936E+15,Jul-19,428,YES,1,$6500,Feb-11,2014,No
73,4,Mastercard,Debit,5.09351E+15,Jun-20,889,YES,2,$2650,Feb-11,2013,No
73,5,Visa,Credit,4.40979E+15,May-12,839,YES,2,$8200,Jan-09,2011,No
73,6,Amex,Credit,3.73326E+14,Jan-22,204,YES,2,$6200,Nov-06,2013,No
74,0,Amex,Credit,3.66837E+14,Jan-21,803,YES,2,$22600,Nov-06,2014,No
74,1,Mastercard,Debit,5.26026E+15,May-24,428,YES,2,$6940,Mar-06,2009,No
74,2,Mastercard,Debit,5.91194E+15,Mar-24,410,YES,2,$23408,Apr-96,2008,No
74,3,Visa,Credit,4.22628E+15,Sep-22,966,YES,2,$9700,Nov-04,2007,No
75,0,Mastercard,Debit,5.625E+15,Jun-24,992,NO,2,$10538,Jul-06,2006,No
75,1,Mastercard,Debit,5.75221E+15,Mar-23,385,YES,2,$6853,Aug-01,2006,No
75,2,Mastercard,Debit,5.47002E+15,Oct-20,598,YES,2,$607,Dec-02,2010,No
75,3,Mastercard,Credit,5.7646E+15,Aug-21,397,YES,1,$0,Aug-10,2010,No
75,4,Visa,Debit,4.37835E+15,Jun-21,644,YES,2,$8253,Oct-04,2011,No
76,0,Visa,Debit,4.4152E+15,Sep-20,847,YES,2,$8492,Jan-20,2020,No
77,0,Visa,Credit,4.71631E+15,Jul-22,275,YES,1,$9100,Jan-10,2010,No
77,1,Mastercard,Credit,5.17541E+15,Apr-22,497,NO,2,$2600,Jul-11,2011,No
77,2,Mastercard,Credit,5.07943E+15,May-24,813,NO,1,$7300,Nov-02,2010,No
78,0,Visa,Credit,4.84159E+15,Aug-20,207,YES,1,$15000,Oct-09,2009,No
78,1,Mastercard,Credit,5.13334E+15,Apr-24,497,YES,2,$18700,Feb-20,2020,No
78,2,Visa,Debit,4.04469E+15,May-21,579,YES,1,$21458,Jan-20,2020,No
78,3,Visa,Credit,4.82518E+15,Apr-20,635,NO,1,$15700,Nov-10,2014,No
79,0,Mastercard,Debit,5.53306E+15,Jan-20,13,YES,2,$20765,Dec-14,2014,No
79,1,Mastercard,Debit,5.13781E+15,Jun-22,170,NO,2,$18101,Feb-20,2020,No
79,2,Visa,Credit,4.40955E+15,Nov-24,528,YES,1,$8400,Feb-20,2020,No
79,3,Mastercard,Debit,5.16971E+15,Mar-20,66,YES,1,$1737,Jan-20,2020,No
80,0,Mastercard,Credit,5.78214E+15,Feb-20,217,YES,2,$20900,Feb-20,2020,No
80,1,Visa,Credit,4.4501E+15,Nov-21,601,YES,1,$23700,Feb-20,2020,No
80,2,Mastercard,Credit,5.29808E+15,Nov-21,989,YES,1,$17500,Jan-20,2020,No
81,0,Visa,Debit,4.91189E+15,Jun-24,769,YES,1,$26083,Dec-09,2009,No
81,1,Visa,Debit,4.39401E+15,Oct-22,943,YES,1,$31589,May-08,2008,No
81,2,Visa,Credit,4.98411E+15,Jun-21,453,YES,2,$24200,Oct-00,2013,No
82,0,Mastercard,Debit,5.65888E+15,Feb-20,190,YES,2,$18321,Feb-20,2020,No
83,0,Mastercard,Debit,5.37713E+15,Oct-22,94,YES,2,$7551,Nov-02,2010,No
83,1,Mastercard,Debit,5.60682E+15,Jun-14,451,YES,1,$15377,Aug-04,2011,No
83,2,Visa,Debit,4.5017E+15,Mar-23,324,YES,1,$12990,Oct-07,2016,No
83,3,Visa,Debit,4.0151E+15,Feb-23,494,YES,1,$8509,Jun-10,2010,No
84,0,Visa,Debit,4.4672E+15,Nov-14,176,YES,1,$96907,Nov-14,2014,No
84,1,Visa,Credit,4.08147E+15,Jul-15,45,YES,1,$43900,Mar-08,2013,No
84,2,Visa,Debit (Prepaid),4.8683E+15,Oct-20,440,YES,2,$76,Nov-05,2007,No
85,0,Mastercard,Debit,5.84371E+15,Jan-20,533,YES,2,$50915,Jan-20,2020,No
85,1,Visa,Debit,4.05231E+15,Dec-21,369,YES,2,$31767,Feb-20,2020,No
86,0,Visa,Credit,4.22989E+15,Apr-24,82,YES,2,$13200,Jul-08,2010,No
86,1,Mastercard,Credit,5.93695E+15,Oct-22,372,YES,2,$16000,Feb-11,2012,No
86,2,Visa,Debit,4.74846E+15,Jul-24,223,YES,2,$18132,Jan-20,2020,No
86,3,Visa,Credit,4.86279E+15,Feb-19,466,YES,1,$300,Apr-12,2012,No
87,0,Mastercard,Debit,5.73684E+15,Nov-22,714,YES,2,$2236,May-00,2015,No
87,1,Visa,Debit,4.52885E+15,Aug-19,451,YES,2,$21591,Sep-10,2010,No
88,0,Mastercard,Debit,5.9568E+15,Apr-20,927,YES,2,$11521,Feb-20,2020,No
88,1,Visa,Credit,4.94983E+15,Jun-20,561,NO,1,$8600,Jan-20,2020,No
89,0,Amex,Credit,3.23782E+14,Mar-20,659,YES,1,$9800,Aug-03,2010,No
89,1,Visa,Credit,4.17288E+15,Mar-12,902,YES,2,$11300,Feb-08,2009,No
89,2,Mastercard,Credit,5.15349E+15,Oct-19,492,YES,1,$8400,Apr-09,2011,No
89,3,Mastercard,Debit,5.51321E+15,Dec-23,789,YES,1,$16597,Jan-99,2009,No
89,4,Amex,Credit,3.16139E+14,Sep-20,876,YES,2,$9400,Sep-08,2008,No
90,0,Visa,Debit,4.70994E+15,Dec-08,122,YES,1,$18702,Dec-07,2007,No
91,0,Visa,Debit,4.72544E+15,Jun-22,675,YES,1,$24806,Jun-07,2007,No
91,1,Visa,Debit,4.99299E+15,May-23,457,YES,1,$19856,Nov-07,2011,No
92,0,Visa,Debit (Prepaid),4.58025E+15,Feb-21,397,YES,2,$68,Feb-10,2010,No
92,1,Amex,Credit,3.47103E+14,Dec-22,791,YES,2,$4900,Jun-09,2009,No
93,0,Mastercard,Debit,5.77939E+15,Feb-22,421,YES,1,$13390,Feb-20,2020,No
93,1,Amex,Credit,3.43259E+14,Nov-24,210,YES,3,$8400,Feb-20,2020,No
94,0,Amex,Credit,3.74396E+14,Mar-24,659,YES,2,$13700,Feb-12,2012,No
95,0,Discover,Credit,6.3088E+15,Nov-24,205,YES,2,$4200,Jun-16,2016,No
96,0,Visa,Debit,4.43983E+15,Aug-20,424,YES,2,$2292,Oct-09,2015,No
96,1,Amex,Credit,3.04372E+14,Mar-21,495,YES,1,$8800,Jul-10,2010,No
97,0,Mastercard,Credit,5.88138E+15,Mar-23,312,NO,2,$7600,Nov-06,2009,No
97,1,Visa,Credit,4.96673E+15,Nov-21,756,YES,2,$6200,May-05,2018,No
98,0,Mastercard,Credit,5.78496E+15,Jul-23,348,YES,1,$12900,Jun-99,2011,No
98,1,Mastercard,Debit,5.61738E+15,Jun-22,228,YES,2,$18820,Sep-08,2015,No
98,2,Visa,Debit,4.81329E+15,Jul-05,979,YES,2,$16167,Jun-04,2009,No
98,3,Mastercard,Credit,5.65904E+15,Jun-23,857,YES,2,$4200,Feb-07,2011,No
